action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,elapsed_time,group_id
cruise,False,False,False,False,True,False,True,True,True,change_to_left,0.8761908250230125,3.83547306060791,17
cruise,False,False,False,False,True,False,True,True,True,change_to_right,0.8794812901981648,3.857919931411743,17
cruise,False,False,False,False,True,False,True,True,True,cruise,1.0,2.8373830318450928,17
cruise,False,False,False,False,True,False,True,True,True,keep,0.000999,3.8750853538513184,17
cruise,False,False,False,False,True,False,True,True,True,swerve_left,0.001004703046781545,3.8601326942443848,17
cruise,False,False,False,False,True,False,True,True,True,swerve_right,0.0011323641295041124,3.8899879455566406,17
change_to_left,False,False,False,False,True,False,True,True,True,change_to_left,1.0,2.827644109725952,18
change_to_left,False,False,False,False,True,False,True,True,True,change_to_right,0.8794812865065711,3.843264579772949,18
change_to_left,False,False,False,False,True,False,True,True,True,cruise,0.2187638837925287,3.829019546508789,18
change_to_left,False,False,False,False,True,False,True,True,True,keep,0.0009989999999999999,3.990978956222534,18
change_to_left,False,False,False,False,True,False,True,True,True,swerve_left,0.001004703046781545,3.846318006515503,18
change_to_left,False,False,False,False,True,False,True,True,True,swerve_right,0.0011323641295041124,3.852785110473633,18
change_to_right,False,False,False,False,True,True,False,True,True,change_to_left,0.8762114332111929,3.841478109359741,19
change_to_right,False,False,False,False,True,True,False,True,True,change_to_right,1.0,2.844127655029297,19
change_to_right,False,False,False,False,True,True,False,True,True,cruise,0.21878517744571835,3.8324716091156006,19
change_to_right,False,False,False,False,True,True,False,True,True,keep,0.000999,3.882497549057007,19
change_to_right,False,False,False,False,True,True,False,True,True,swerve_left,0.001004703046781545,3.832900285720825,19
change_to_right,False,False,False,False,True,True,False,True,True,swerve_right,0.0011323641295041124,3.8653223514556885,19
cruise,False,False,False,False,True,True,False,True,True,change_to_left,0.8762118208833383,3.8105907440185547,20
cruise,False,False,False,False,True,True,False,True,True,change_to_right,0.8794809347515816,3.8688483238220215,20
cruise,False,False,False,False,True,True,False,True,True,cruise,1.0,2.7934341430664062,20
cruise,False,False,False,False,True,True,False,True,True,keep,0.000999,3.9128072261810303,20
cruise,False,False,False,False,True,True,False,True,True,swerve_left,0.001004703046781545,3.837059497833252,20
cruise,False,False,False,False,True,True,False,True,True,swerve_right,0.0011326605084351412,3.8568503856658936,20
change_to_left,False,False,False,False,True,True,False,True,True,change_to_left,1.0,2.8781940937042236,21
change_to_left,False,False,False,False,True,True,False,True,True,change_to_right,0.8794812910988876,3.817462921142578,21
change_to_left,False,False,False,False,True,True,False,True,True,cruise,0.21878222730770527,3.847522497177124,21
